,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
82,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,May be appropriate
83,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
84,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
85,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
86,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
87,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
88,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197150,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
89,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197150,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
90,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197150,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
91,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197150,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
92,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197150,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
93,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197150,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
94,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3149342,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
95,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3149342,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
96,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3149342,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
97,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3149342,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
98,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3149342,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
99,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3149342,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
100,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
101,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
102,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,FDG-PET/MRI skull base to mid-thigh,1-10 mSv☢☢☢,,Usually appropriate
103,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
104,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
105,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
106,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
107,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,CT chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
108,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,US abdomen,0 mSvO,0 mSv [ped]O,Usually not appropriate
109,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually not appropriate
110,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually not appropriate
111,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually not appropriate
112,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
113,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,CT chest without and with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
114,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,CT chest without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
115,Gyn and OB,"Cervical cancer, chemoradiation, posttreatment evaluation",3196732,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
116,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
117,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
118,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
119,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,CT chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
120,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,FDG-PET/MRI skull base to mid-thigh,1-10 mSv☢☢☢,,Usually appropriate
121,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
122,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
123,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
124,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
125,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,CT chest without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
126,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate (Disagreement)
127,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,US abdomen,0 mSvO,0 mSv [ped]O,Usually not appropriate
128,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually not appropriate
129,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually not appropriate
130,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually not appropriate
131,Gyn and OB,"Cervical cancer, local recurrence suspected, follow-up imaging",3196735,CT chest without and with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
132,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
133,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
134,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
135,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,CT chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
136,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,FDG-PET/MRI skull base to mid-thigh,1-10 mSv☢☢☢,,Usually appropriate
137,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
138,Gyn and OB,"Cervical cancer, local recurrence, follow-up imaging",3196736,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
