panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas,ct_usually_appropriate,ct_may_be_appropriate,ct_not_appropriate,other_usually_appropriate,other_may_be_appropriate,other_not_appropriate,mr_usually_appropriate,mr_may_be_appropriate,mr_not_appropriate,us_usually_appropriate,us_may_be_appropriate,us_not_appropriate,other_modality_usually_appropriate,other_modality_may_be_appropriate,other_modality_not_appropriate,green-green,green-yellow,green-red,yellow-green,yellow-yellow,yellow-red,red-green,red-yellow,red-red
Gastrointestinal,3155938,"Pancreatitis, persistent > 4 weeks",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4801,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194184,"Perianal abscess suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5555,All,18 - 150,Pelvis,,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194185,"Perianal fistula suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5556,All,18 - 150,Pelvis,,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194193,"Postproctectomy with anastomosis, complication suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5561,All,18 - 150,Abdomen-pelvis,,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194191,"Pouchitis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5560,All,18 - 150,Abdomen-pelvis,,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194190,"Proctitis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5559,All,18 - 150,Abdomen-pelvis,,True,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194188,"Rectovaginal fistula suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5558,All,18 - 150,Pelvis,,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194187,"Rectovesicular fistula suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5557,All,18 - 150,Pelvis,,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195406,"RLQ pain, fever, leukocytosis, appendicitis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6315,All,18 - 150,Abdomen,,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3195405,"RLQ pain, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6314,All,18 - 150,Abdomen,,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3195883,"RUQ pain, acalculous cholecystitis suspected, US equivocal, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6707,All,18 - 150,Abdomen,,False,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
Gastrointestinal,3195882,"RUQ pain, acalculous cholecystitis suspected, US negative, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6706,All,18 - 150,Abdomen,,False,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
Gastrointestinal,3195877,"RUQ pain, biliary disease suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6701,All,18 - 150,Abdomen,,False,True,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
Gastrointestinal,3195876,"RUQ pain, etiology unknown, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6700,All,18 - 150,Abdomen,,True,True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
